b experience,"Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT"
M,47.41,41.21,43.98,38.73,49.13,44.31,50.00,43.12
SD,9.05,11.12,8.25,6.30,10.39,9.80,9.05,9.45
N,33,36,23,25,28,27,54,54
M,51.77,45.18,44.84,36.62,49.39,43.43,50.60,46.28
SD,9.28,10.82,9.81,8.03,8.75,7.79,9.62,7.46
N,46,41,37,33,78,81,71,72
M,52.87,46.87,51.25,46.73,53.90,45.27,56.12,48.13
SD,8.72,7.44,6.88,7.33,8.66,9.24,7.89,7.56
N,19,24,25,28,21,22,11,9
M,52.49,48.24,52.37,49.23,55.65,49.69,55.85,46.87
SD,8.32,8.04,6.37,7.13,6.86,8.60,7.05,9.22
N,39,39,27,26,23,18,24,25
M,56.31,53.51,57.29,52.93,58.57,50.47,56.63,49.00
SD,4.78,7.88,4.45,6.55,7.11,7.79,9.04,5.79
N,31,30,33,33,28,30,8,8
M,58.82,59.80,59.44,57.84,60.94,59.13,63.08,60.02
SD,3.81,4.95,3.96,6.39,8.86,7.37,6.66,8.13
N,18,17,44,44,20,20,19,19
