"Job experience","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT"
"M","58.10","41.74","59.26","41.79","58.84","42.00","57.82","41.95"
"SD","7.55","2.55","8.60","3.37","8.86","2.78","8.11","3.71"
"N","33","36","23","25","28","27","54","54"
"M","58.63","41.41","58.86","40.64","57.40","41.75","57.21","42.05"
"SD","8.58","3.18","8.92","3.27","7.77","2.97","8.22","3.49"
"N","46","41","37","33","78","81","71","72"
"M","59.35","41.80","58.37","41.52","63.56","41.44","58.09","43.12"
"SD","8.00","3.50","6.84","2.55","7.03","3.06","8.94","2.44"
"N","19","24","25","28","21","22","11","9"
"M","57.20","42.62","58.29","40.83","56.73","42.16","59.51","41.74"
"SD","6.60","2.55","8.03","2.80","7.79","2.07","9.21","4.87"
"N","39","39","27","26","23","18","24","25"
"M","57.89","43.54","59.25","43.18","57.86","42.27","56.46","43.95"
"SD","8.39","2.04","8.44","2.51","7.52","2.99","4.29","1.67"
"N","31","30","33","33","28","30","8","8"
"M","57.39","41.77","55.92","42.87","55.13","42.94","57.46","43.66"
"SD","7.11","5.44","5.47","2.95","6.86","3.08","8.23","3.66"
"N","18","17","44","44","20","20","19","19"
