"Job experience","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT","Upper
1/2
AFQT","Lower
1/2
AFQT"
"M","46.27","40.67","49.19","39.89","46.53","42.78","50.33","42.89"
"SD","7.49","4.51","9.11","7.62","6.71","7.61","7.77","8.35"
"N","33","36","23","25","28","27","54","54"
"M","50.50","47.12","47.88","37.88","47.76","42.56","50.87","44.56"
"SD","9.82","9.22","7.77","8.84","8.20","5.90","8.00","6.68"
"N","46","41","37","33","78","81","71","72"
"M","54.87","44.61","52.77","43.79","53.66","45.20","48.90","46.46"
"SD","7.88","6.83","7.75","7.42","7.96","5.47","8.86","5.54"
"N","19","24","25","28","21","22","11","9"
"M","55.76","48.39","52.33","44.22","53.75","51.60","58.81","49.08"
"SD","8.74","7.99","9.36","7.09","7.82","7.60","8.67","8.38"
"N","39","39","27","26","23","18","24","25"
"M","54.43","47.86","56.20","49.02","60.81","53.42","55.40","49.11"
"SD","8.97","7.34","6.18","6.28","7.04","8.46","6.86","4.61"
"N","31","30","33","33","28","30","8","8"
"M","66.24","59.84","60.63","57.06","64.57","64.29","65.54","61.62"
"SD","9.95","5.95","4.29","6.56","7.16","5.00","9.66","10.04"
"N","18","17","44","44","20","20","19","19"
